,codes,airports,cities,countries,airports - cities
945,ESNV,Vilhelmina South Lapland Airport,Vilhelmina,SE,Vilhelmina South Lapland Airport - Vilhelmina
946,ESNX,Arvidsjaur Airport,Arvidsjaur,SE,Arvidsjaur Airport - Arvidsjaur
947,ESNY,Söderhamn Airport,Söderhamn,SE,Söderhamn Airport - Söderhamn
948,ESNZ,Åre Östersund Airport,Östersund,SE,Åre Östersund Airport - Östersund
949,ESOE,Örebro Airport,Örebro,SE,Örebro Airport - Örebro
950,ESOH,Hagfors Airport,Råda,SE,Hagfors Airport - Råda
951,ESOK,Karlstad Airport,Karlstad,SE,Karlstad Airport - Karlstad
952,ESOW,Stockholm Västerås Airport,Stockholm / Västerås,SE,Stockholm Västerås Airport - Stockholm / Västerås
953,ESPA,Luleå Airport,Luleå,SE,Luleå Airport - Luleå
954,ESSA,Stockholm-Arlanda Airport,Stockholm,SE,Stockholm-Arlanda Airport - Stockholm
955,ESSB,Stockholm-Bromma Airport,Stockholm,SE,Stockholm-Bromma Airport - Stockholm
956,ESSD,Dala Airport,Borlange,SE,Dala Airport - Borlange
957,ESSK,Gävle Sandviken Airport,Gävle / Sandviken,SE,Gävle Sandviken Airport - Gävle / Sandviken
958,ESSL,Linköping City Airport,Linköping,SE,Linköping City Airport - Linköping
959,ESSP,Norrköping Airport,Norrköping,SE,Norrköping Airport - Norrköping
960,ESST,Torsby Airport,Torsby,SE,Torsby Airport - Torsby
961,ESSU,Eskilstuna Airport,Eskilstuna,SE,Eskilstuna Airport - Eskilstuna
962,ESSV,Visby Airport,Visby,SE,Visby Airport - Visby
963,ESTA,Ängelholm-Helsingborg Airport,Ängelholm,SE,Ängelholm-Helsingborg Airport - Ängelholm
964,ESTL,Ljungbyhed Airport,Ljungbyhed,SE,Ljungbyhed Airport - Ljungbyhed
965,ESUD,Storuman Airport,Storuman,SE,Storuman Airport - Storuman
966,ESUP,Pajala Airport,,SE,Pajala Airport - nan
967,ESUT,Hemavan Airport,Hemavan,SE,Hemavan Airport - Hemavan
968,ETAD,Spangdahlem Air Base,Trier,DE,Spangdahlem Air Base - Trier
969,ETAR,Ramstein Air Base,Ramstein,DE,Ramstein Air Base - Ramstein
970,ETHB,Bückeburg Air Base,,DE,Bückeburg Air Base - nan
971,ETHC,Celle Army Airfield,,DE,Celle Army Airfield - nan
972,ETHF,Fritzlar Army Airfield,Fritzlar,DE,Fritzlar Army Airfield - Fritzlar
973,ETHL,Laupheim Air Base,,DE,Laupheim Air Base - nan
974,ETHN,Niederstetten Army Air Base,Niederstetten,DE,Niederstetten Army Air Base - Niederstetten
975,ETHS,Fassberg Air Base,,DE,Fassberg Air Base - nan
976,ETIC,Grafenwohr Army Air Field,,DE,Grafenwohr Army Air Field - nan
977,ETIH,Hohenfels Army Air Field,,DE,Hohenfels Army Air Field - nan
978,ETMN,Nordholz Naval Airbase,Cuxhaven,DE,Nordholz Naval Airbase - Cuxhaven
979,ETND,Diepholz Air Base,Diepholz,DE,Diepholz Air Base - Diepholz
980,ETNG,Geilenkirchen Air Base,,DE,Geilenkirchen Air Base - nan
981,ETNH,Hohn Air Base,,DE,Hohn Air Base - nan
982,ETNL,Rostock-Laage Airport,Rostock,DE,Rostock-Laage Airport - Rostock
983,ETNN,Nörvenich Air Base,,DE,Nörvenich Air Base - nan
984,ETNS,Schleswig Air Base,Jagel,DE,Schleswig Air Base - Jagel
985,ETNT,Wittmundhafen Air Base,,DE,Wittmundhafen Air Base - nan
986,ETNW,Wunstorf Air Base,,DE,Wunstorf Air Base - nan
987,ETOU,Wiesbaden Army Airfield,Wiesbaden,DE,Wiesbaden Army Airfield - Wiesbaden
988,ETSB,Büchel Air Base,,DE,Büchel Air Base - nan
989,ETSH,Holzdorf Air Base,,DE,Holzdorf Air Base - nan
990,ETSI,Ingolstadt Manching Airport,Manching,DE,Ingolstadt Manching Airport - Manching
991,ETSL,Lechfeld Air Base,Lagerlechfeld,DE,Lechfeld Air Base - Lagerlechfeld
992,ETSN,Neuburg AFB,Neuburg (Donau),DE,Neuburg AFB - Neuburg (Donau)
993,EVDA,Daugavpils Intrenational Airport,Daugavpils,LV,Daugavpils Intrenational Airport - Daugavpils
994,EVKA,Jēkabpils Air Base,Jēkabpils,LV,Jēkabpils Air Base - Jēkabpils
995,EVLA,Liepāja International Airport,Liepāja,LV,Liepāja International Airport - Liepāja
996,EVRA,Riga International Airport,Riga,LV,Riga International Airport - Riga
997,EVTA,Jūrmala Airport,Tukums,LV,Jūrmala Airport - Tukums
998,EVVA,Ventspils International Airport,Ventspils,LV,Ventspils International Airport - Ventspils
999,EYKA,Kaunas International Airport,Kaunas,LT,Kaunas International Airport - Kaunas
1000,EYKD,Kėdainiai Air Base,Kėdainiai,LT,Kėdainiai Air Base - Kėdainiai
1001,EYPA,Palanga International Airport,Palanga,LT,Palanga International Airport - Palanga
1002,EYPP,Panevėžys Air Base,Panevėžys,LT,Panevėžys Air Base - Panevėžys
1003,EYSA,Šiauliai International Airport,Šiauliai,LT,Šiauliai International Airport - Šiauliai
1004,EYSB,Barysiai Airfield,Šiauliai,LT,Barysiai Airfield - Šiauliai
1005,EYVI,Vilnius International Airport,Vilnius,LT,Vilnius International Airport - Vilnius
1006,FAAB,Alexander Bay Airport,Alexander Bay,ZA,Alexander Bay Airport - Alexander Bay
1007,FAAG,Aggeneys Airport,Aggeneys,ZA,Aggeneys Airport - Aggeneys
1008,FABE,Bisho Airport,Bisho,ZA,Bisho Airport - Bisho
1009,FABL,Bram Fischer International Airport,Bloemfontain,ZA,Bram Fischer International Airport - Bloemfontain
1010,FABR,Barberton Airport,Umjindi (Barberton),ZA,Barberton Airport - Umjindi (Barberton)
1011,FACT,Cape Town International Airport,Cape Town,ZA,Cape Town International Airport - Cape Town
1012,FAEL,Ben Schoeman Airport,East London,ZA,Ben Schoeman Airport - East London
1013,FAEO,Ermelo Airport,Ermelo,ZA,Ermelo Airport - Ermelo
1014,FAFB,Ficksburg Sentraoes Airport,Ficksburg,ZA,Ficksburg Sentraoes Airport - Ficksburg
1015,FAGC,Grand Central Airport,Midrand,ZA,Grand Central Airport - Midrand
1016,FAGG,George Airport,George,ZA,George Airport - George
1017,FAGM,Rand Airport,Johannesburg,ZA,Rand Airport - Johannesburg
1018,FAHR,Harrismith Airport,Harrismith,ZA,Harrismith Airport - Harrismith
1019,FAKD,P C Pelser Airport,Klerksdorp,ZA,P C Pelser Airport - Klerksdorp
1020,FAKM,Kimberley Airport,Kimberley,ZA,Kimberley Airport - Kimberley
1021,FAKN,Kruger Mpumalanga International Airport,Mpumalanga,ZA,Kruger Mpumalanga International Airport - Mpumalanga
1022,FAKU,Johan Pienaar Airport,Kuruman,ZA,Johan Pienaar Airport - Kuruman
1023,FAKZ,Kleinsee Airport,Kleinsee,ZA,Kleinsee Airport - Kleinsee
1024,FALA,Lanseria International Airport,Johannesburg,ZA,Lanseria International Airport - Johannesburg
1025,FALC,Lime Acres Finsch Mine Airport,Lime Acres,ZA,Lime Acres Finsch Mine Airport - Lime Acres
1026,FALE,King Shaka International Airport,Durban,ZA,King Shaka International Airport - Durban
1027,FALW,Langebaanweg Airport,Langebaanweg,ZA,Langebaanweg Airport - Langebaanweg
1028,FALY,Ladysmith Airport,Ladysmith,ZA,Ladysmith Airport - Ladysmith
1029,FAMD,Malamala Airport,Malamala,ZA,Malamala Airport - Malamala
1030,FAMG,Margate Airport,Margate,ZA,Margate Airport - Margate
1031,FAMM,Mmabatho International Airport,Mafeking,ZA,Mmabatho International Airport - Mafeking
1032,FAMN,Riverside Airport,Malelane,ZA,Riverside Airport - Malelane
1033,FAMS,Morningside Farm Airport,Silveroaks,ZA,Morningside Farm Airport - Silveroaks
1034,FAMU,Mkuze Airport,Mkuze,ZA,Mkuze Airport - Mkuze
1035,FANC,Newcastle Airport,Newcastle,ZA,Newcastle Airport - Newcastle
1036,FAOH,Oudtshoorn Airport,Oudtshoorn,ZA,Oudtshoorn Airport - Oudtshoorn
1037,FAOR,OR Tambo International Airport,Johannesburg,ZA,OR Tambo International Airport - Johannesburg
1038,FAPE,Chief Dawid Stuurman International Airport,Port Elizabeth,ZA,Chief Dawid Stuurman International Airport - Port Elizabeth
1039,FAPG,Plettenberg Bay Airport,Plettenberg Bay,ZA,Plettenberg Bay Airport - Plettenberg Bay
1040,FAPH,Hendrik Van Eck Airport,Phalaborwa,ZA,Hendrik Van Eck Airport - Phalaborwa
1041,FAPI,Pietersburg Municipal Airport,Polokwane,ZA,Pietersburg Municipal Airport - Polokwane
1042,FAPJ,Port St Johns Airport,Port St Johns,ZA,Port St Johns Airport - Port St Johns
1043,FAPM,Pietermaritzburg Airport,Pietermaritzburg,ZA,Pietermaritzburg Airport - Pietermaritzburg
1044,FAPP,Polokwane International Airport,Polokwane,ZA,Polokwane International Airport - Polokwane
1045,FAPS,Potchefstroom Airport,Potchefstroom,ZA,Potchefstroom Airport - Potchefstroom
1046,FAQT,Queenstown Airport,Queenstown,ZA,Queenstown Airport - Queenstown
1047,FARB,Richards Bay Airport,Richards Bay,ZA,Richards Bay Airport - Richards Bay
1048,FARG,Rustenburg Airport,Rustenburg,ZA,Rustenburg Airport - Rustenburg
1049,FARS,Robertson Airport,Robertson,ZA,Robertson Airport - Robertson
1050,FASB,Springbok Airport,Springbok,ZA,Springbok Airport - Springbok
1051,FASC,Secunda Airport,Secunda,ZA,Secunda Airport - Secunda
1052,FASD,Saldanha /Vredenburg Airport,Saldanha-Vredenburg,ZA,Saldanha /Vredenburg Airport - Saldanha-Vredenburg
1053,FASS,Sishen Airport,Sishen,ZA,Sishen Airport - Sishen
1054,FASZ,Skukuza Airport,Skukuza,ZA,Skukuza Airport - Skukuza
1055,FATZ,Tzaneen Airport,Tzaneen,ZA,Tzaneen Airport - Tzaneen
1056,FAUL,Prince Mangosuthu Buthelezi Airport,Ulundi,ZA,Prince Mangosuthu Buthelezi Airport - Ulundi
1057,FAUP,Pierre Van Ryneveld Airport,Upington,ZA,Pierre Van Ryneveld Airport - Upington
1058,FAUT,K. D. Matanzima Airport,Mthatha,ZA,K. D. Matanzima Airport - Mthatha
1059,FAVB,Vryburg Airport,Vyrburg,ZA,Vryburg Airport - Vyrburg
1060,FAVG,Virginia Airport,Durban,ZA,Virginia Airport - Durban
1061,FAVR,Vredendal Airport,Vredendal,ZA,Vredendal Airport - Vredendal
1062,FAVV,Vereeniging Airport,Vereeniging,ZA,Vereeniging Airport - Vereeniging
1063,FAWB,Wonderboom Airport,Pretoria,ZA,Wonderboom Airport - Pretoria
1064,FAWK,Waterkloof Air Force Base,Pretoria,ZA,Waterkloof Air Force Base - Pretoria
1065,FAYP,Ysterplaat Air Force Base,Cape Town,ZA,Ysterplaat Air Force Base - Cape Town
1066,FBFT,Francistown Airport,Francistown,BW,Francistown Airport - Francistown
1067,FBJW,Jwaneng Airport,Jwaneng,BW,Jwaneng Airport - Jwaneng
1068,FBKE,Kasane Airport,Kasane,BW,Kasane Airport - Kasane
1069,FBMN,Maun Airport,Maun,BW,Maun Airport - Maun
1070,FBSK,Sir Seretse Khama International Airport,Gaborone,BW,Sir Seretse Khama International Airport - Gaborone
1071,FBSN,Sua Pan Airport,Sowa,BW,Sua Pan Airport - Sowa
1072,FBSP,Selebi Phikwe Airport,Selebi Phikwe,BW,Selebi Phikwe Airport - Selebi Phikwe
1073,FCBB,Maya-Maya Airport,Brazzaville,CG,Maya-Maya Airport - Brazzaville
1074,FCOD,Oyo Ollombo Airport,Oyo,CG,Oyo Ollombo Airport - Oyo
1075,FCOO,Owando Airport,Owando,CG,Owando Airport - Owando
1076,FCOU,Ouesso Airport,,CG,Ouesso Airport - nan
1077,FCPL,Ngot Nzoungou Airport,Dolisie,CG,Ngot Nzoungou Airport - Dolisie
1078,FCPP,Antonio Agostinho-Neto International Airport,Pointe Noire,CG,Antonio Agostinho-Neto International Airport - Pointe Noire
1079,FDMS,Matsapha Airport,Manzini,SZ,Matsapha Airport - Manzini
1080,FDSK,King Mswati III International Airport,Mpaka,SZ,King Mswati III International Airport - Mpaka
1081,FEFF,Bangui M'Poko International Airport,Bangui,CF,Bangui M'Poko International Airport - Bangui
1082,FEFT,Berbérati Airport,Berbérati,CF,Berbérati Airport - Berbérati
1083,FGBT,Bata Airport,Bata,GQ,Bata Airport - Bata
1084,FGSL,Malabo Airport,Malabo,GQ,Malabo Airport - Malabo
1085,FHAW,RAF Ascension Island,Cat Hill,SH,RAF Ascension Island - Cat Hill
1086,FIMP,Sir Seewoosagur Ramgoolam International Airport,Plaine Magnein,MU,Sir Seewoosagur Ramgoolam International Airport - Plaine Magnein
1087,FIMR,Sir Charles Gaetan Duval Airport,Port Mathurin,MU,Sir Charles Gaetan Duval Airport - Port Mathurin
1088,FJDG,Diego Garcia Naval Support Facility,Diego Garcia,IO,Diego Garcia Naval Support Facility - Diego Garcia
1089,FKKC,Tiko Airport,Tiko,CM,Tiko Airport - Tiko
1090,FKKD,Douala International Airport,Douala,CM,Douala International Airport - Douala
1091,FKKL,Salak Airport,Maroua,CM,Salak Airport - Maroua
1092,FKKM,Foumban Nkounja Airport,Foumban,CM,Foumban Nkounja Airport - Foumban
1093,FKKN,N'Gaoundéré Airport,N'Gaoundéré,CM,N'Gaoundéré Airport - N'Gaoundéré
1094,FKKR,Garoua International Airport,Garoua,CM,Garoua International Airport - Garoua
1095,FKKU,Bafoussam Airport,Bafoussam,CM,Bafoussam Airport - Bafoussam
1096,FKKV,Bamenda Airport,Bamenda,CM,Bamenda Airport - Bamenda
1097,FKKY,Yaoundé Airport,Yaoundé,CM,Yaoundé Airport - Yaoundé
1098,FKYS,Yaoundé Nsimalen International Airport,Yaoundé,CM,Yaoundé Nsimalen International Airport - Yaoundé
1099,FLKE,Kasompe Airport,Chingola,ZM,Kasompe Airport - Chingola
1100,FLLC,Lusaka City Airport,Lusaka,ZM,Lusaka City Airport - Lusaka
1101,FLLI,Harry Mwanga Nkumbula International Airport,Livingstone,ZM,Harry Mwanga Nkumbula International Airport - Livingstone
1102,FLLS,Kenneth Kaunda International Airport,Lusaka,ZM,Kenneth Kaunda International Airport - Lusaka
1103,FLMF,Mfuwe Airport,Mfuwe,ZM,Mfuwe Airport - Mfuwe
1104,FLMG,Mongu Airport,Mongu,ZM,Mongu Airport - Mongu
1105,FLND,Simon Mwansa Kapwepwe International Airport,Ndola,ZM,Simon Mwansa Kapwepwe International Airport - Ndola
1106,FLSO,Southdowns Airport,Kitwe,ZM,Southdowns Airport - Kitwe
1107,FMCH,Prince Said Ibrahim International Airport,Moroni,KM,Prince Said Ibrahim International Airport - Moroni
1108,FMCI,Mohéli Bandar Es Eslam Airport,Fomboni,KM,Mohéli Bandar Es Eslam Airport - Fomboni
1109,FMCV,Ouani Airport,Ouani,KM,Ouani Airport - Ouani
1110,FMCZ,Dzaoudzi Pamandzi International Airport,Dzaoudzi,YT,Dzaoudzi Pamandzi International Airport - Dzaoudzi
1111,FMEE,Roland Garros Airport,St Denis,RE,Roland Garros Airport - St Denis
1112,FMEP,Pierrefonds Airport,St Pierre,RE,Pierrefonds Airport - St Pierre
1113,FMMI,Ivato Airport,Antananarivo,MG,Ivato Airport - Antananarivo
1114,FMMN,Miandrivazo Airport,Miandrivazo,MG,Miandrivazo Airport - Miandrivazo
1115,FMMS,Sainte Marie Airport,Vohilava,MG,Sainte Marie Airport - Vohilava
1116,FMMT,Toamasina Ambalamanasy Airport,Toamasina,MG,Toamasina Ambalamanasy Airport - Toamasina
1117,FMMV,Morondava Airport,Morondava,MG,Morondava Airport - Morondava
1118,FMNA,Arrachart Airport,Antisiranana,MG,Arrachart Airport - Antisiranana
1119,FMNC,Mananara Nord Airport,Mananara Nord,MG,Mananara Nord Airport - Mananara Nord
1120,FMND,Andapa Airport,,MG,Andapa Airport - nan
1121,FMNH,Antsirabe Airport,Antsirabe,MG,Antsirabe Airport - Antsirabe
1122,FMNL,Analalava Airport,Analalava,MG,Analalava Airport - Analalava
1123,FMNM,Amborovy Airport,Mahajanga,MG,Amborovy Airport - Mahajanga
1124,FMNN,Fascene Airport,Nosy Be,MG,Fascene Airport - Nosy Be
1125,FMNQ,Besalampy Airport,Besalampy,MG,Besalampy Airport - Besalampy
1126,FMNR,Maroantsetra Airport,Maroantsetra,MG,Maroantsetra Airport - Maroantsetra
1127,FMNS,Sambava Airport,Sambava,MG,Sambava Airport - Sambava
1128,FMNV,Vohemar Airport,Vohemar,MG,Vohemar Airport - Vohemar
1129,FMNW,Ambalabe Airport,Antsohihy,MG,Ambalabe Airport - Antsohihy
1130,FMSD,Tôlanaro Airport,Tôlanaro,MG,Tôlanaro Airport - Tôlanaro
1131,FMSF,Fianarantsoa Airport,Fianarantsoa,MG,Fianarantsoa Airport - Fianarantsoa
1132,FMSK,Manakara Airport,Manakara,MG,Manakara Airport - Manakara
1133,FMSM,Mananjary Airport,Mananjary,MG,Mananjary Airport - Mananjary
1134,FMSR,Morombe Airport,Morombe,MG,Morombe Airport - Morombe
1135,FMST,Toliara Airport,Toliara,MG,Toliara Airport - Toliara
1136,FNBC,Mbanza Congo Airport,Mbanza Congo,AO,Mbanza Congo Airport - Mbanza Congo
1137,FNBG,Benguela 17th of September Airport,Benguela,AO,Benguela 17th of September Airport - Benguela
1138,FNCA,Cabinda Airport,Cabinda,AO,Cabinda Airport - Cabinda
1139,FNCT,Catumbela Airport,Catumbela,AO,Catumbela Airport - Catumbela
1140,FNDU,Dundo Airport,Chitato,AO,Dundo Airport - Chitato
1141,FNGI,Ngjiva Pereira Airport,Ngiva,AO,Ngjiva Pereira Airport - Ngiva
1142,FNHU,Nova Lisboa Airport,Huambo,AO,Nova Lisboa Airport - Huambo
1143,FNKU,Kuito Airport,Kuito,AO,Kuito Airport - Kuito
1144,FNLU,Quatro de Fevereiro Airport,Luanda,AO,Quatro de Fevereiro Airport - Luanda
1145,FNMA,Malanje Airport,Malanje,AO,Malanje Airport - Malanje
1146,FNME,Menongue Airport,Menongue,AO,Menongue Airport - Menongue
1147,FNMO,Welwitschia Mirabilis International Airport,Moçâmedes,AO,Welwitschia Mirabilis International Airport - Moçâmedes
1148,FNNG,Negage Airport,Negage,AO,Negage Airport - Negage
1149,FNPA,Porto Amboim Airport,Port Amboim,AO,Porto Amboim Airport - Port Amboim
1150,FNSA,Saurimo Airport,Saurimo,AO,Saurimo Airport - Saurimo
1151,FNSO,Soyo Airport,Soyo,AO,Soyo Airport - Soyo
1152,FNSU,Sumbe Airport,Sumbe,AO,Sumbe Airport - Sumbe
1153,FNUB,Lubango Airport,Lubango,AO,Lubango Airport - Lubango
1154,FNUE,Luena Airport,Luena,AO,Luena Airport - Luena
1155,FNUG,Uige Airport,Uige,AO,Uige Airport - Uige
1156,FNXA,Xangongo Airport,Xangongo,AO,Xangongo Airport - Xangongo
1157,FOGK,Koulamoutou Mabimbi Airport,Koulamoutou,GA,Koulamoutou Mabimbi Airport - Koulamoutou
1158,FOGM,Mouilla Ville Airport,Mouila,GA,Mouilla Ville Airport - Mouila
1159,FOGO,Oyem Airport,Oyem,GA,Oyem Airport - Oyem
1160,FOGQ,Okondja Airport,Okondja,GA,Okondja Airport - Okondja
1161,FOGR,Lambarene Airport,Lambarene,GA,Lambarene Airport - Lambarene
1162,FOOB,Bitam Airport,Bitam,GA,Bitam Airport - Bitam
1163,FOOG,Port Gentil Airport,Port Gentil,GA,Port Gentil Airport - Port Gentil
1164,FOOH,Omboue Hospital Airport,Omboue,GA,Omboue Hospital Airport - Omboue
1165,FOOK,Makokou Airport,Makokou,GA,Makokou Airport - Makokou
1166,FOOL,Libreville Leon M'ba International Airport,Libreville,GA,Libreville Leon M'ba International Airport - Libreville
1167,FOON,M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,GA,M'Vengue El Hadj Omar Bongo Ondimba International Airport - Franceville
1168,FPPR,Principe Airport,São Tomé & Príncipe,ST,Principe Airport - São Tomé & Príncipe
1169,FPST,São Tomé International Airport,São Tomé,ST,São Tomé International Airport - São Tomé
1170,FQBR,Beira Airport,Beira,MZ,Beira Airport - Beira
1171,FQCH,Chimoio Airport,Chimoio,MZ,Chimoio Airport - Chimoio
1172,FQIN,Inhambane Airport,Inhambane,MZ,Inhambane Airport - Inhambane
1173,FQLC,Lichinga Airport,Lichinga,MZ,Lichinga Airport - Lichinga
1174,FQMA,Maputo Airport,Maputo,MZ,Maputo Airport - Maputo
1175,FQMD,Mueda Airport,Mueda,MZ,Mueda Airport - Mueda
1176,FQMP,Mocímboa da Praia Airport,Mocímboa da Praia,MZ,Mocímboa da Praia Airport - Mocímboa da Praia
1177,FQNP,Nampula Airport,Nampula,MZ,Nampula Airport - Nampula
1178,FQPB,Pemba Airport,Pemba / Porto Amelia,MZ,Pemba Airport - Pemba / Porto Amelia
1179,FQQL,Quelimane Airport,Quelimane,MZ,Quelimane Airport - Quelimane
1180,FQTT,Chingozi Airport,Tete,MZ,Chingozi Airport - Tete
1181,FQVL,Vilankulo Airport,Vilanculo,MZ,Vilankulo Airport - Vilanculo
1182,FSIA,Seychelles International Airport,Mahe Island,SC,Seychelles International Airport - Mahe Island
1183,FSPP,Praslin Airport,Grand Anse,SC,Praslin Airport - Grand Anse
1184,FTTC,Abeche Airport,Abeche,TD,Abeche Airport - Abeche
1185,FTTD,Moundou Airport,Moundou,TD,Moundou Airport - Moundou
1186,FTTJ,N'Djamena International Airport,N'Djamena,TD,N'Djamena International Airport - N'Djamena
1187,FTTY,Faya Largeau Airport,,TD,Faya Largeau Airport - nan
1188,FVBU,Joshua Mqabuko Nkomo International Airport,Bulawayo,ZW,Joshua Mqabuko Nkomo International Airport - Bulawayo
1189,FVCZ,Buffalo Range Airport,Chiredzi,ZW,Buffalo Range Airport - Chiredzi
1190,FVFA,Victoria Falls International Airport,Victoria Falls,ZW,Victoria Falls International Airport - Victoria Falls
1191,FVHA,Robert Gabriel Mugabe International Airport,Harare,ZW,Robert Gabriel Mugabe International Airport - Harare
1192,FVKB,Kariba International Airport,Kariba,ZW,Kariba International Airport - Kariba
1193,FVMT,Mutoko Airport,Mutoko,ZW,Mutoko Airport - Mutoko
1194,FVMV,Masvingo International Airport,Masvingo,ZW,Masvingo International Airport - Masvingo
1195,FVTL,Gweru - Thornhill Air Base,Gweru,ZW,Gweru - Thornhill Air Base - Gweru
1196,FVWN,Hwange National Park Airport,Hwange,ZW,Hwange National Park Airport - Hwange
1197,FWCL,Chileka International Airport,Blantyre,MW,Chileka International Airport - Blantyre
1198,FWDW,Dwangwa Airport,Dwangwa,MW,Dwangwa Airport - Dwangwa
1199,FWKA,Karonga Airport,Karonga,MW,Karonga Airport - Karonga
1200,FWKI,Lilongwe International Airport,Lilongwe,MW,Lilongwe International Airport - Lilongwe
1201,FWMG,Mangochi Airport,Mangochi,MW,Mangochi Airport - Mangochi
1202,FWUU,Mzuzu Airport,Mzuzu,MW,Mzuzu Airport - Mzuzu
1203,FXMM,Moshoeshoe I International Airport,Maseru,LS,Moshoeshoe I International Airport - Maseru
1204,FYAR,Arandis Airport,Arandis,,Arandis Airport - Arandis
1205,FYGF,Grootfontein Airport,Grootfontein,,Grootfontein Airport - Grootfontein
1206,FYKT,Keetmanshoop Airport,Keetmanshoop,,Keetmanshoop Airport - Keetmanshoop
1207,FYLZ,Luderitz Airport,Luderitz,,Luderitz Airport - Luderitz
1208,FYML,Mariental Airport,Mariental,,Mariental Airport - Mariental
1209,FYOA,Ondangwa Airport,Ondangwa,,Ondangwa Airport - Ondangwa
1210,FYOG,Oranjemund Airport,Oranjemund,,Oranjemund Airport - Oranjemund
1211,FYRU,Rundu Airport,Rundu,,Rundu Airport - Rundu
1212,FYTM,Tsumeb Airport,Tsumeb,,Tsumeb Airport - Tsumeb
1213,FYWB,Walvis Bay Airport,Walvis Bay,,Walvis Bay Airport - Walvis Bay
1214,FYWE,Eros Airport,Windhoek,,Eros Airport - Windhoek
1215,FYWH,Hosea Kutako International Airport,Windhoek,,Hosea Kutako International Airport - Windhoek
1216,FZAA,Ndjili International Airport,Kinshasa,CD,Ndjili International Airport - Kinshasa
1217,FZAB,Ndolo Airport,N'dolo,CD,Ndolo Airport - N'dolo
1218,FZBO,Bandundu Airport,Bandundu,CD,Bandundu Airport - Bandundu
1219,FZCA,Kikwit Airport,Kikwit,CD,Kikwit Airport - Kikwit
1220,FZEA,Mbandaka Airport,Mbandaka,CD,Mbandaka Airport - Mbandaka
1221,FZFD,Gbadolite Airport,Gbadolite,CD,Gbadolite Airport - Gbadolite
1222,FZFK,Gemena Airport,Gemena,CD,Gemena Airport - Gemena
1223,FZGA,Lisala Airport,,CD,Lisala Airport - nan
1224,FZIC,Bangoka International Airport,Kisangani,CD,Bangoka International Airport - Kisangani
